tweet_id,created_at,text,location,retweet,favorite
1340726662628057089,2020-12-20 18:32:00,"If u can reply to this u made my whole life better and 2020 was a tough year for us but 2012 will so much better, I love you and all of u from the bottom of my heart 💘",she/her 1/5 Jonah follows,0,0
1340725735267463168,2020-12-20 18:28:19,2020 was a fever dream.,"Laval, Québec",0,2
1340725535245279232,2020-12-20 18:27:31,"2020 was a wedding season, 2021 is going to be a baby season 🌚","Karachi, Pakistan",0,1
1340725377250045952,2020-12-20 18:26:54,"I assumed 2020 was a one-off show. Now you tell me there's a second season! And 2021 is starting on a bombshell: the virus has mutated and is out of control again, the gov says the vaccine will still work but, after last season's lies, can we trust them? #BorisFailedBritain",,0,1
1340724806308794369,2020-12-20 18:24:37,"2020 was a year of learning
‘21 gonna be Action 🔥",Long Island,0,0
1340724140400119809,2020-12-20 18:21:59,"I’on wanna be thaaat guyyyyyy and I know 2020 was a rough year for many but what’s gonna make 2021 any different? I think 2021 cannnn be different &amp; better but not because it’ll be a new year, liiiike let’s talk about what we’re gonna actually do to make it better?","New York, NY",0,1
1340723806919421955,2020-12-20 18:20:39,"At this point, it's safe to say that Nigeria's ""VISION 2020"" was a big Scam!!!","(042)....Enugu, Nigeria.",1,6
1340723785029345285,2020-12-20 18:20:34,2020 was a good year that turn bad for me from April - November,My Own World ,0,0
1340723278441308161,2020-12-20 18:18:33,2020 was a big year of shadow work,Ig: straightouttacosmos,9,38
1340723255871680515,2020-12-20 18:18:28,2020 was a good year for me honestly ..... got in a space where I can get back to focusing on music .... been working on my credit score ...recorded an album and put out a beat tape ....got a lil more financially stable ... shit is looking up!,Behind My Eyes,0,1
1340723197717692416,2020-12-20 18:18:14,"2020 was a difficult year. Personally — I began January having contacted shingles from six month long visa-related stress. Just as I was getting my bearings together, the pandemic struck. But I also published a bit. So here goes my 2020 Pub list.",Mumbai 🌉 New York ,0,7
1340722841315098624,2020-12-20 18:16:49,"if you think 2020 was a politically turbulent year, wait til 2025 when a wave of online prodigies become eligible for the poker hall of fame",,0,3
1340722401521393666,2020-12-20 18:15:04,"You Can No Longer Watch Full-Length Formula One Races On Pornhub - Photo: Bryn Lennon (Getty Images)Monday, December 14, 2020 was a sad day. Pornhub outwitted every other social media platform and made the decision to nuke all unverified content from its site. And while it is ...",,0,0
1340722193525690368,2020-12-20 18:14:15,"Boycott liking “2020 was a crazy year, amirite?” Instagram captions. We can do better.","Calgary, AB",0,1
1340720414109011970,2020-12-20 18:07:10,"The Failure Of 2020.

This year, for many humans has been quite ""Life-changing"". Though for some, in a positive way and conversely for the majority.

For me, fortunately, 2020 was a net positive year. At least that's what I believe. A long ""personal"" Thread. 👇🏼",🇮🇳,0,0
1340719821990883331,2020-12-20 18:04:49,"2020 was a year like no other, people looked to others more 
for help than any other year.

Hope you were part of those, 
who help others regardless of 
what it was like for you!

Still reflecting on how the year went for me especially!

#Gratitute 
#ToGodBeAllTheGlory!",Lagos | Benin | Warri,1,1
1340718884710735876,2020-12-20 18:01:06,2020 was a fucking joke,"Doncaster, England",0,1
1340716556142211072,2020-12-20 17:51:50,2020 was a little sloppy on the backend work. but we gone set the foundation right for the beginning 2021 📈👌🏽,,0,0
1340715983481102336,2020-12-20 17:49:34,2020 was a good year for self-growth,,1,0
1340715847426461702,2020-12-20 17:49:01,I stay to myself for a reason secure my own bag take care of my family and make sure my mom and sis straight 2020 was a lesson learnt now watch 2021 ima manifest my blessings  watch how tables turn🤑🤑🤑...be humble and stay humble..GOD oversees everything you do so b blessed,,1,1
1340715018854252545,2020-12-20 17:45:44,Ayo 2020 was a great learning lesson,Planet Earth ,0,1
1340714979637534723,2020-12-20 17:45:35,I don’t wanna see anyone tweeting 2020 was a movie on NYE,"London, England",1,13
1340714845277188096,2020-12-20 17:45:03,"I dunno why but authors being like “2020 was a hard year for us” as a reason to not do bad reviews is so funny considering so many booktubers are also retail workers, healthcare workers, hospitality workers, you know people whose lives were (and continue to be) destroyed by covid",she/her,1,14
1340712612884062211,2020-12-20 17:36:10,"Today it has passed 1 year since last reply of ""제 사랑빙수"" Sanghyuk to me on Fancafé! 🍂🤧⏳

2020 was a very unlucky year for me regarding this. 💔

Again when? 💌 I yearn for his cute, unexpected and sudden replies so so so much! 😢🙏😭

#SF9 #DAWON #LEESANGHYUK @SF9official",,1,2
1340712177540472833,2020-12-20 17:34:27,"2020 was a year of stark contrasts ...

- Good vs evil 
- Selfless vs selfish 
- Light vs darkness 
- Joy vs despair 

While much of the year felt hopeless, 
it ends with hope of better days ahead.","Buffalo, N.Y",5,7
1340711984648646657,2020-12-20 17:33:41,"2020 was a really rough year, but I wanted to thank each and everyone for just making it so much better 💖💖💖",OwOville,2,69
1340711316240166913,2020-12-20 17:31:01,If 2020 was a bath bomb it would be a fucking toaster.,"Scotland, United Kingdom",0,0
1340710580592779265,2020-12-20 17:28:06,Tier 44 cant stop my new year’s celebrations. 2020 was a big blessing.,,0,0
1340709752708337666,2020-12-20 17:24:48,If 2020 was a person it would definitely be Jasper from The Holiday.,"Phoenix, AZ",0,0
1340709092512456707,2020-12-20 17:22:11,even though ive only heard 100 albums I can say for sure that 2020 was a fire year for music idc idc,THEY/THEM,0,13
1340708978729349121,2020-12-20 17:21:44,#God make 2021  different and prosperous. 2020 was a lesson in ego and to appreciate what you have.,Diversity In New York,0,0
1340708734151090178,2020-12-20 17:20:46,"This might sound crazy but 
2020 was a great year 
Despite the challenges","Miami, FL",1,0
1340708400078970880,2020-12-20 17:19:26,2020 was a bad year but give me hidden blessings,Bronx | Westchester ,1,3
1340706259243155456,2020-12-20 17:10:55,"Honestly, like 2020 was a disaster but I still had a great year. I left a job and moved back to where my heart needed to be, adopted literally the perfect dog for me, was able to rent a townhouse without my parents help!, got married, and found a job I love.",//ID//,0,5
1340705858246873090,2020-12-20 17:09:20,"2020 was a bad year.
Don't forget the greatest man in Kenya, the founding father of this great nation, father of entertainment in Nairobi, owner of Sabina Joy, Mzee Gerald Gikonyo Kanyuria died this year.

RIP Mzee, your legacy will last forever, you have saved many horny souls.",At the feet of Mt. Kenya,1,9
1340705385640910851,2020-12-20 17:07:27,2020 was a Scam in itself,"Lucknow, India",0,2
1340704720000872451,2020-12-20 17:04:48,2020 was a blessing in disguise on some bitter sweet type shit,,2,1
1340703338778771456,2020-12-20 16:59:19,It looks like 2020 was a pretty okay year for spoiled white girls just my observation,,0,0
1340702766415695873,2020-12-20 16:57:03,2020 was a disaster movie by itself,"Houston, TX",0,0
1340702755963453442,2020-12-20 16:57:00,I’m just thankful to be alive 2020 was a wild one,,1,1
1340702666868092929,2020-12-20 16:56:39,"2020 was a year of opportunity taken, and experiencing a world other, younger students feared to go. It’s been 35 years I last wrote a college essay or sat a final exam, but in the year of virtual learning, I decided to jump right in. #365joys2020",,0,0
1340702643900002307,2020-12-20 16:56:34,2020 was a lesson so 2021 got to be a blessing speaking it into existence,,0,0
1340702079334006785,2020-12-20 16:54:19,"A McTominay brace in under 4 minutes is proof enough that 2020 was a glitch in the matrix. 
#MUNLEE",Canada,0,1
1340702002204999680,2020-12-20 16:54:01,if 2020 was a person it’d be Kelly Besimon on season 3 of @BravoTV #RHONY,"Colorado Springs, CO",0,0
1340701930029498373,2020-12-20 16:53:43,"2020 was a year! Almost quit streaming at 250 followers in March. Proud to say that I am at 2650 followers. My goal at the beginning of the year was 500 followers and then 2k. Thanks for all the love and support from everyone, especially @MoistCr1TiKaL and @ExolvedEsports ❤️❤️❤️",,0,4
1340701151201808390,2020-12-20 16:50:38,"the fact that 2020 was a collective suffering indicates to me that it was the final transitioning heading into the age of aquarius. nobody knows when it actually is but for the souls here who feel that shifting energy, u are so important. ur born to bring the shift now. to lead.","New York, NY",0,1
1340700949371703296,2020-12-20 16:49:50,"2020 was a blessing in disguise man. so many things came out of this yr. finding myself again, has been the top tier moment of it all.",elsewhere,0,0
1340700122565455873,2020-12-20 16:46:32,Personally 2020 was a good year for my internal growth and reflection. It was inconvenient but that’s how these things are.,United States,1,5
1340699578488811521,2020-12-20 16:44:23,Last #UFC event of 2020 was a lot of fun. Congratulations to @CGiagos @jimmyflick @TafonDaDon @TailasantosUfc @DeronWinn @PannieKianzad @Showtimepettis @MarcinTybura @RobSFont @UfcPereira @josealdojunior and @WonderboyMMA on their wins 👏 @ufc #UFCVegas17 what a year! 👍,Lancashire / Azeroth,0,1
1340698692211232769,2020-12-20 16:40:51,Not gonna lie 2020 was a great year for me,,3,2
1340698542030123008,2020-12-20 16:40:16,Damage limitation after 3 minutes. If 2020 was a football match. 🤦🏼‍♂️,Yorkshire,0,0
1340697702573719555,2020-12-20 16:36:55,"2020 was a rough year in all respects, but my beautiful son was born and is healthy. It’s hard to complain.","Hoboken, NJ",0,31
1340696336556023813,2020-12-20 16:31:30,"It’s seems 2020 was a rehearsal for 2021 
Welcome  #VUI2020_12_01
God bless us",Lebanon,1,34
1340696235179728904,2020-12-20 16:31:06,2020 was a shitastic year but the fact you’ve made it to the end is proof the human spirit is unbreakable,A World Only God Knows,0,0
1340695932552290304,2020-12-20 16:29:53,I’m really excited to see what 2021 has in store for me cause 2020 was a blessing in disguise,at work ,0,0
1340695311648493568,2020-12-20 16:27:25,2020 was a year to remember 😂 I seen niggas make millions and I seen niggas make a couple thousands ‼️ all in all I seen niggas gettin to the muthafuckin paper 💰,,0,0
1340694897934950401,2020-12-20 16:25:47,2020 was a lot of things! However...,New York,0,0
1340694863088656389,2020-12-20 16:25:38,"When it comes to personal growth &amp; goals, 2020 was a great year.","Monterrey, NL / Illinois ",2,12
