tweet_id,created_at,text,location,retweet,favorite
1340758851625357312,2020-12-20 20:39:54,"Although this year was a trying year, I can honestly say I am so grateful for the growth. I’m so thankful for taking the time to blossom and grow into a better me.",,0,2
1340756617655140361,2020-12-20 20:31:02,"This year was a leap year... 

Just after my Birthday the whole world literally shifted. 

👀🤞🏽","Johannesburg, South Africa",0,0
1340756607773368320,2020-12-20 20:31:00,This year was a big year for salad dressings with dill in it.,Deep within the schism ,0,0
1340756395742904320,2020-12-20 20:30:09,"If you’re the kind of person who thinks this year was a waste of year that’s on you, you’ve basically had a full year to learn a new skill, better yourself and your life. If nothings changed then that’s on you, no one else",,0,2
1340755294142525440,2020-12-20 20:25:46,This year was a time warped black hole...we just might wake up with super powers tomorrow lol.,Atlanta ,1,4
1340754871402770432,2020-12-20 20:24:06,Deshaun Watson needs more credit Texans as team this year was a fail but he still achieved,,0,0
1340738689706700800,2020-12-20 19:19:48,This year was a set back; had to start a lot all over.,mamprobi-accra,0,1
1340737601985273859,2020-12-20 19:15:28,This year was a whole FUCKING lot ! my brain is still trying to fully comprehend everything that occurred. Madness!,"Federal Capital Territory, Nig",1,1
1340737100635926530,2020-12-20 19:13:29,"This year was a real eye opener for me, I swear to never let myself fall nowhere near that path AGAIN ! That goes for life, lessons, goals, any kind of relationships, EVERYTHING ! So much shit can happen in a year !!","Orlando, FL",0,0
1340735532289110026,2020-12-20 19:07:15,I told all of my love ones “do not buy me anything for the holidays”.This year was a rough year for people.I know they are not going to listen to me but I don’t want people stressing just to buy me a gift when I have everything that I need.,"baltimore ,md",0,0
1340734595642363904,2020-12-20 19:03:31,"This year was a crazy storm but it was a storm that was much needed because I can feel it inside me, greater things are coming after this storm.",In my BAG ,23,42
1340733527025983489,2020-12-20 18:59:17,Me not having to buy gifts this year was a breeze 😂😁😁,,0,0
1340728293423771653,2020-12-20 18:38:29,everybody i talked to this year was a dubbing i’m ashamed,"Atlanta, GA",0,0
1340727762521231360,2020-12-20 18:36:22,"This year was a very good year for shoe drops, but 2021 looking pretty good from what I’m seeing",Where the people say Hella.,0,1
1340725973151563778,2020-12-20 18:29:16,My bucket list for this year was a fail,"Bronx, NY",0,1
1340725916947890176,2020-12-20 18:29:02,"What exciting times to be alive!

Knowledge at your fingertips - books, learning how-to-do, connecting w/ masters, keep in contact w/ your network.

Yet most misuse these tools, undermining their true potential.

For me, this year was a huge revelation - the future is bright!",Worldwide,0,1
1340725351035617281,2020-12-20 18:26:47,eveything i said i was gone get this year i did it all by myself🤞🏽im so proud of my self and i cant wait for what next year has instored for me bc this year was a year of so much growth🥰 Thank You God For Everything 🙏🏽,💰💆🏽‍♀️,0,0
1340724910231089153,2020-12-20 18:25:02,"Y'all, did you know this year was a Leap Year?","Maryland, USA",0,0
1340724132674203649,2020-12-20 18:21:57,i really hope next year is better. this year was a whole battle,PTA & JHB,26,75
1340723391066619905,2020-12-20 18:19:00,"This year was a huge wake up call for those that NEVER liked to get themselves involved into POLITICS. As I said it before, POLITICS fucking matter whether you like it or not.",,0,0
1340722020602933248,2020-12-20 18:13:33,playing fantasy football this year was a terrible decision on my part,"paris, tokyo",0,0
1340718222610468865,2020-12-20 17:58:28,Notre Dame making the playoff is nothing short of hilarious and completely validates my position that this year was a complete waste and I’m thankful that Georgia didn’t win it all.,Colorado State University,0,4
1340716888553377797,2020-12-20 17:53:10,"Usually a supporter of committee decisions, but this year was a dud. Group of 5 teams have basically been told not to bother suiting up. #CFBPlayoff #CFPInsider","Grapevine, TX",1,2
1340716777358159875,2020-12-20 17:52:43,"This year was a flash, Already got the next one planned ; FoCus",", TX",0,0
1340716727945080832,2020-12-20 17:52:31,Time to lose to Alabama and prove that our work for this year was a waste. @NDFootball,United States,1,2
1340714914151878661,2020-12-20 17:45:19,"Here’s the thing. You cannot determine how good a team is based off anything this year. While one team looks stellar in their conference, the conference actually could be full of mediocre teams. It’s simple. This year was a guessing game. Except Alabama. They’re a buzzsaw.","Grove City, OH",0,0
1340714586173919232,2020-12-20 17:44:01,"This year, was a break of all. This coming year I'll break free, I grind harder. Let's go how far I can go. 💪",,0,1
1340713934064660486,2020-12-20 17:41:25,Maybe not for y’all but this year was a life changer for me opened my eyes to a lot,,1,1
1340713265563922437,2020-12-20 17:38:46,Everyone upset about notre dame getting into the playoff but this year was a joke. And shouldn’t have been played.,E.L./Det / Chi/ NYC/ Jersey,0,0
1340711481088872448,2020-12-20 17:31:40,This year was a the worst year ever. That it was also a year that brought us together and united is. Please let's us never give up. Together we are stronger us one.,Holland,0,0
1340710081478930438,2020-12-20 17:26:07,This year was a joke,,0,0
1340707841900994567,2020-12-20 17:17:13,"This year was a lot.

A LOT.

I have too many people to thank for helping me keep sane and safe this 2020.",Florida,1,4
1340707734795268101,2020-12-20 17:16:47,FINALLY finished all my Christmas presents my god this year was a struggle,,0,1
1340704854365368321,2020-12-20 17:05:21,"Getting the four senior all Irelands played off this year was a serious achievement by the GAA, the camogie association and LGFA. Certainly missteps along the way but in the times we live in it was a serious feat. Well done all, let’s never do it again.",Ireland,1,102
1340704063013457922,2020-12-20 17:02:12,This year was a mess. And it’s 11 more days left.,"Durham, NC",3,6
1340701503636422657,2020-12-20 16:52:02,This year was a total WASTE 🤷‍♂️,,0,0
1340700432323256321,2020-12-20 16:47:46,"They should band flights from the UK and South Africa here in America , this year was a good lesson","Chicago, IL",1,2
1340700294032797696,2020-12-20 16:47:13,I opened my gifts today and my favorite gift this year was a space heater.  ☀️,"Tulsa, OK",0,1
1340697476831985664,2020-12-20 16:36:02,My Snapchat 2020 recap story made me cry tears of gratitude! This year was a blessssssing.,,0,3
1340696211523776513,2020-12-20 16:31:00,"A lot of people speak on the changes they are going to make &amp; do the same thing , but tbh this year was a good year for me &amp; so was last year . This move I’m gonna do is personal",,0,0
1340694254071365635,2020-12-20 16:23:13,"I bought a 2019 camaro and totaled it this year, was a situation where your parents said not to buy but you still go on and buy lol so now I’m whippin a 2020 Honda hatchback 🚗","California, USA",0,3
1340693930652934144,2020-12-20 16:21:56,"Streaming schedule will be a little bit sporadic the next week or so with the Holidays around the corner.

This year was a really intense social media grind so I'll be taking some days to recharge the batteries and go even harder next year.

As always thank you for the support ❤️",Montreal,0,4
1340692776070098944,2020-12-20 16:17:21,You think this year was a problem. Next year 2021 can drink legally 😉🤷‍♂️,"Georgia now, MA before.",2,17
1340689236148805637,2020-12-20 16:03:17,This year was a great learning and growing experience..... I’m proud of me,"Detroit, MI",0,0
1340688847487836160,2020-12-20 16:01:44,I just read a tweet that said the new public transit in their city that opened THIS YEAR was a waste of money because ridership has been so low THIS YEAR.,"Halifax, Nova Scotia",0,3
1340686608262189056,2020-12-20 15:52:50,Bro this year was a disaster for me. I can truly say I went thru it,Jamaica ,0,1
1340685499279831041,2020-12-20 15:48:26,I am a little satisfied. This year was a disappointment re: official gestalt content but I made my own food (drew the same man 100 times).,I love Replicant too,0,29
1340684140782510080,2020-12-20 15:43:02,"In 2020 my marriage was strengthened, I became comfortable with the fact that I have the personality of a cartoon character, I spent time with my daughter, I became super close with my best friend. But that doesn’t change the fact that this year was a fucking dumpster fire.",My own little world of horror,0,4
1340683313032380421,2020-12-20 15:39:45,Hope the entire @WSUCougarFB roster comes back for next year. I know they’ll be some attrition but I feel like they can crush with some more time to gel. This year was a doozy. At least I get to support from afar. #GoCougs,"Atlanta, GA",0,1
1340682499400364035,2020-12-20 15:36:31,Despite a lot of things happening globally this year was a good 1 alhamdulillah,holy matrimony 👨‍👩‍👧‍👦,0,0
1340677466784862210,2020-12-20 15:16:31,"Dear followers,
Congrats on the auspicious birth of al-Sayeda Zaynab al-Kubra (‘alayha assalam).
This year was a difficult 1. We learn from her 2 be patient &amp; challenge the difficulties through our faith in Allah, 2 turn them into opportunities where we can shine in His pleasure!",,5,50
1340677084767801346,2020-12-20 15:15:00,This year was a year of faith and taking leaps. I pray that my faith pulls through.,,0,2
1340676975480942593,2020-12-20 15:14:34,The weirdest thing happened this year was a girl blocking me over $20 right after asking me for $500 😩🤣 if you couldn’t pay me back 20 what I’m the hell makes you think I’m gone give you a dollar,,0,0
1340675909150531584,2020-12-20 15:10:19,This year was a prime example of “man  plans and God laughs”...,,1,3
1340674775476269068,2020-12-20 15:05:49,"Just imagine if this year was a movie,  you just wouldn't believe it!",Village north of Northampton,0,2
1340673855791230991,2020-12-20 15:02:10,"if all you achieved this year was staying alive, I’m proud of you. This year was a super tough year for everyone, so staying alive is more than enough.","Brighton, England",17,96
1340670440151212033,2020-12-20 14:48:36,This year was a lot.,,0,0
1340669711172952065,2020-12-20 14:45:42,Played a lot of good games this year was a good year for me to catch up on games I missed out on.,,0,1
1340665819899047949,2020-12-20 14:30:14,"This year was a crappy year. We all need to time to grieve and I want to respect that. But if something great happened to you this year and you feel like sharing (abut maybe you feel a bit guilty) please share here! I want to celebrate with you!
#FindingJoyIn2020",,3,29
1340663181287583744,2020-12-20 14:19:45,This year was a really huge win for the introverts 👍,cookingpot,0,0
1340661821892669440,2020-12-20 14:14:21,"This year was a shit, but it left me a lot of lessons",,0,0
1340649834013990914,2020-12-20 13:26:43,This year was a fucked up year tbh,Saint Kitts and Nevis,0,2
1340647311114846210,2020-12-20 13:16:41,"I just realized that they hinted at the return of Carnival Phantasm in some form this year cause the FGO's 2020 Summer Event this year was a big freaking Carnival Phantasm reference
(Final Dead Lancer 2: Yu Died)",,0,3
1340642994551066628,2020-12-20 12:59:32,"Even without covid, this year was a shetty ass year for me 🤣🥴","Honolulu, HI",0,0
1340642599254646785,2020-12-20 12:57:58,and i feel like this year was a lot to me i almost fell into depression but no one even cared to ask anything abt my wellbeing,,0,0
1340642336490070022,2020-12-20 12:56:55,"Gorden, Fred’s and Ginos Christmas tv show this year was a banger",,0,0
1340642153446449154,2020-12-20 12:56:11,So gutted the only thing we had planned on for the kids this year was a drive through winter Wonderland and we couldn't go because someone or something smashed our mirror. 🤦🏼‍♂️,Plymouth England,0,1
1340642078653444099,2020-12-20 12:55:54,Very on brand for 2020 that the most useful purchase I made this year was a pair of crutches.,Carbon baste.,0,0
1340636559054409729,2020-12-20 12:33:58,My auntie’s present to me this year was a bible to replace the one she gave me @ church group when I was a kid,England,0,11
1340631636942204932,2020-12-20 12:14:24,This year was a saddess year for all the solid @SpongeColaPH fans who yearly attend the Christmas Party. 🥺,#SpongeColaTown,0,0
1340628627482882053,2020-12-20 12:02:27,If this year was a disaster movie that came out 5 years ago you honestly wouldn’t have believed the plot.,,0,0
1340626127132356609,2020-12-20 11:52:30,"This year was a huge vacation, and we actually got bored of this vacation",,0,6
1340618609840840704,2020-12-20 11:22:38,If this year was a curry what would it be ?,"Harrogate, Yorkshire",0,0
1340617877418692609,2020-12-20 11:19:44,"Just finished watching #DashingInDecember It was so good!
This year was a blessing for queer Christmas Movies!",,0,2
1340614845243088898,2020-12-20 11:07:41,This year was a trip . Dead ass feel like the entire year has been nothing but a hallucination.,WEST COAST,0,3
1340613390448930818,2020-12-20 11:01:54,"lmfaooo this year was a leap year

an extra day of painnn",lamza,1,15
1340600576288174082,2020-12-20 10:10:59,"This year was a year of the spiritual awaken from God and my dlozi

I’ve learnt sooo much! Materially I can’t show for 2020 but spiritually I’ve learnt a lot and still learning",Republic of Cape Town,0,0
1340599019349762048,2020-12-20 10:04:47,"Hi, for those gals who love me. I am going to detox myself for now. I'm not going to leave soc meds, but I won't entertain any messages for now. Sorry in advance if di ko marereplyan mga messages nyo. I really need to do this couz this year was a block of shit for me.  ✨","Soneva, kiri",0,20
1340594348916936704,2020-12-20 09:46:14,This year was a mfn rollercoaster,Inglewood 🚀ATL,0,0
1340583114951729154,2020-12-20 09:01:36,"The power of PRAYER I tell you... this year was a crazy and trying year but has ended with the greatest blessings. I gave birth naturally with no complications to a healthy baby girl, passed my cosmetology test and am officially LICENSED, and my hubby landed the job in Vegas! 🙏🏼","Manoa, Hawaii",0,3
1340575946261188608,2020-12-20 08:33:06,all I asked for Christmas this year was a set of cute comfortable pijamas 💗,"Paramount, CA",0,2
1340569790725943296,2020-12-20 08:08:39,this year was a eye opener,dc,91,184
1340568748470784000,2020-12-20 08:04:30,this year was a waste of my time,🇿🇦,1,34
1340565353261240323,2020-12-20 07:51:01,all i have to say is turning 21 this year was a FUCKING SCAM,california,1,7
1340562178504445952,2020-12-20 07:38:24,This year was a roller coaster ride for all of us but it was beyond beautiful too #SidNaazKiPyaariDuniya,,1,0
1340561456958464002,2020-12-20 07:35:32,"I wasted so much of my life being unhappy, even when great things happened that feeling never stayed. Last year was my turning point. This year was a struggle but I'm going to try to fix this shit. My biggest takeaway is yell about the things that make you happy!!",,0,4
1340558828136398850,2020-12-20 07:25:05,Brooooo this year was a fucking trippp for me like wtf,,0,1
1340553081013088256,2020-12-20 07:02:15,this year was a complete joke lmao.,336,0,2
1340549278264041472,2020-12-20 06:47:08,"even though every day of this year was a constant struggle it still feels like it passed very quickly, i hate time",she/her ,0,1
1340548505799192576,2020-12-20 06:44:04,This year was a bad investment of my time y punto.,She/her,0,0
1340544352259428353,2020-12-20 06:27:34,i still can’t chug beers. this year was a waste.,,0,4
1340542722340515840,2020-12-20 06:21:05,"This year was a lot. shit that happend this year was out of emotion and mental health, some shit i shouldn’t have responded the way I did but I did, I apologized, hated myself hella, then put myself to the side to heal. And I did. I’m proud of myself. Thank u God!!❤️❤️",Ohio,0,0
1340532684209065986,2020-12-20 05:41:12,MAGA needs to be the anti-lockdown movement in 2021. Demand your leaders open 100% full capacity. This year was a weak showing. Next year we can't afford the hesitation or excuses.,United States,136,812
1340530560100229122,2020-12-20 05:32:46,I forgot this year was a leap year,,0,0
1340528065684881408,2020-12-20 05:22:51,This year was a crazy year for me but a lot of stuff I brought upon myself for being careless an tryna live like a person I’m not but I’m good now tho 🤞🏾🤌🏾,🤞🏾⭕️H ✈️ 🏝 L.A.,0,0
1340519703622656000,2020-12-20 04:49:37,• this year was a fucking disaster please next year be better..,Cloud 9ine ,0,1
1340516327908372480,2020-12-20 04:36:12,"Dan will only win a SEC title when: 

- Kirby leaves UGA (the win this year was a fluke. Period)
- Saban leaves Alabama

That's pretty much it.

UGA will crush Florida in a year. Florida will lose 4 games next year. Minimum. This tea isn't talented.","Atlanta, GA",0,0
1340514243536412672,2020-12-20 04:27:55,just genuinely wondering how you can not think that the lack of marvel movies this year was a good thing,United States,0,0
1340510065254645762,2020-12-20 04:11:19,i feel like this year was a real eye opener for alot of music for me. i really got into a bunch of really dope artists and im way more open than i was in 2019,,0,0
1340509332132274178,2020-12-20 04:08:24,Everybody I met this year was a waste of my time...,"Chicago, IL",0,0
1340508028748107777,2020-12-20 04:03:14,Won’t lie ... this year was a year of traveling and going places I never thought I would. I hope I can make this a norm,"Washington, DC",0,0
1340505254941487105,2020-12-20 03:52:12,"i don't know who needs to hear this, but i'm proud of you. you made it to another day! congratulations. this year was a really bad time for all of us, and you're probably struggling a lot, but it's gonna be okay. things like these happen, and i'm happy you pushed through.💖",fil/eng/bis || HE/HIM,0,7
1340503916291772416,2020-12-20 03:46:53,Coming to terms with my bisexuality this year was a win tbh,Twitter jail,0,2
1340499895174631424,2020-12-20 03:30:54,My most played song this year was a song I discovered because of Rick and morty lol,,0,0
